stock_id,stock_name,industry,custom_tag,revenue_share,model_score
1319,東陽,橡膠工業,常規產業,0.0172,1319
1316,上曜,電子零組件業,常規產業,0.0147,1316
1315,達新,塑料工業,常規產業,0.0475,1315
1314,中石化,塑料工業,常規產業,0.0461,1314
1313,聯成,塑料工業,常規產業,0.0448,1313
1312,國喬,塑料工業,常規產業,0.0435,1312
1310,台苯,塑料工業,常規產業,0.0408,1310
1309,台達化,塑料工業,常規產業,0.0395,1309
1308,亞聚,塑料工業,常規產業,0.0381,1308
1307,三芳,塑料工業,常規產業,0.0368,1307
1305,華夏,塑料工業,常規產業,0.0341,1305
1304,台聚,塑料工業,常規產業,0.0328,1304
1303,南亞,塑料工業,常規產業,0.0315,1303
1301,台塑,塑料工業,常規產業,0.0288,1301
1256,鮮活果汁-KY,食品工業,常規產業,0.0594,1256
1236,宏亞,食品工業,常規產業,0.052,1236
1235,興泰,食品工業,常規產業,0.0516,1235
1234,黑松,食品工業,常規產業,0.0512,1234
1233,天仁,食品工業,常規產業,0.0509,1233
1232,大統益,食品工業,常規產業,0.0505,1232
1231,聯華食,食品工業,常規產業,0.0501,1231
1229,聯華,食品工業,常規產業,0.0494,1229
1227,佳格,食品工業,常規產業,0.0486,1227
1225,福懋油,食品工業,常規產業,0.0479,1225
1220,台榮,食品工業,常規產業,0.0461,1220
1219,福壽,食品工業,常規產業,0.0457,1219
1218,泰山,食品工業,常規產業,0.0453,1218
1217,愛之味,食品工業,常規產業,0.0449,1217
1216,統一,食品工業,常規產業,0.0446,1216
1215,卜蜂,食品工業,常規產業,0.0442,1215
1213,大飲,食品工業,常規產業,0.0435,1213
1210,大成,食品工業,常規產業,0.0424,1210
1203,味王,食品工業,常規產業,0.0398,1203
1201,味全,食品工業,常規產業,0.039,1201
1110,東泥,水泥工業,常規產業,0.0182,1110
1109,信大,水泥工業,常規產業,0.0169,1109
1108,幸福,水泥工業,常規產業,0.0157,1108
1104,環泥,水泥工業,常規產業,0.2392,1104
1103,嘉泥,水泥工業,常規產業,0.2379,1103
1102,亞泥,水泥工業,常規產業,0.2367,1102
1101,台泥,水泥工業,常規產業,0.2354,1101
